muni_id,uf_sigla,muni_nm,idhm,lat,lon
1200013,AC,ACRELÂNDIA,0.604,-9.828,-66.883
1200054,AC,ASSIS BRASIL,0.588,-10.941,-69.567
1200104,AC,BRASILÉIA,0.614,-11.01,-68.748
1200138,AC,BUJARI,0.589,-9.831,-67.952
1200179,AC,CAPIXABA,0.575,-10.573,-67.676
1200203,AC,CRUZEIRO DO SUL,0.664,-7.631,-72.67
1200252,AC,EPITACIOLÂNDIA,0.653,-11.029,-68.741
1200302,AC,FEIJÓ,0.539,-8.164,-70.354
1200328,AC,JORDÃO,0.469,-9.434,-71.884
1200344,AC,MANOEL URBANO,0.551,-8.839,-69.26
1200351,AC,MARECHAL THAUMATURGO,0.501,-8.941,-72.792
1200336,AC,MÂNCIO LIMA,0.625,-7.614,-72.896
1200385,AC,PLÁCIDO DE CASTRO,0.622,-10.335,-67.184
1200807,AC,PORTO ACRE,0.576,-9.588,-67.533
1200393,AC,PORTO WALTER,0.532,-8.269,-72.744
1200401,AC,RIO BRANCO,0.727,-9.975,-67.81
1200427,AC,RODRIGUES ALVES,0.567,-7.742,-72.647
1200435,AC,SANTA ROSA DO PURUS,0.517,-9.433,-70.493
1200500,AC,SENA MADUREIRA,0.603,-9.066,-68.657
1200450,AC,SENADOR GUIOMARD,0.64,-10.151,-67.736
1200609,AC,TARAUACÁ,0.539,-8.161,-70.766
1200708,AC,XAPURI,0.599,-10.652,-68.504
2700201,AL,ANADIA,0.568,-9.684,-36.304
2700300,AL,ARAPIRACA,0.649,-9.752,-36.661
2700409,AL,ATALAIA,0.561,-9.502,-36.023
2700508,AL,BARRA DE SANTO ANTÔNIO,0.557,-9.405,-35.507
2700607,AL,BARRA DE SÃO MIGUEL,0.615,-9.84,-35.908
2700706,AL,BATALHA,0.594,-9.678,-37.125
2700904,AL,BELO MONTE,0.517,-9.828,-37.28
2700805,AL,BELÉM,0.593,-9.571,-36.492
2701001,AL,BOCA DA MATA,0.604,-9.641,-36.22
2701100,AL,BRANQUINHA,0.513,-9.246,-36.015
2701209,AL,CACIMBINHAS,0.531,-9.4,-36.99
2701308,AL,CAJUEIRO,0.562,-9.397,-36.154
2701357,AL,CAMPESTRE,0.559,-8.846,-35.568
2701407,AL,CAMPO ALEGRE,0.57,-9.782,-36.351
2701506,AL,CAMPO GRANDE,0.524,-9.958,-36.792
2701605,AL,CANAPI,0.506,-9.127,-37.605
2701704,AL,CAPELA,0.573,-9.408,-36.074
2701803,AL,CARNEIROS,0.526,-9.483,-37.377
2701902,AL,CHÃ PRETA,0.575,-9.255,-36.296
2702009,AL,COITÉ DO NÓIA,0.533,-9.632,-36.579
2702108,AL,COLÔNIA LEOPOLDINA,0.517,-8.909,-35.725
2702207,AL,COQUEIRO SECO,0.586,-9.638,-35.803
2702306,AL,CORURIPE,0.626,-10.126,-36.176
2702355,AL,CRAÍBAS,0.525,-9.618,-36.768
2702405,AL,DELMIRO GOUVEIA,0.612,-9.386,-37.996
2702504,AL,DOIS RIACHOS,0.532,-9.393,-37.101
2702553,AL,ESTRELA DE ALAGOAS,0.534,-9.39,-36.76
2702603,AL,FEIRA GRANDE,0.533,-9.9,-36.678
2702702,AL,FELIZ DESERTO,0.565,-10.292,-36.306
2702801,AL,FLEXEIRAS,0.527,-9.273,-35.715
2702900,AL,GIRAU DO PONCIANO,0.536,-9.884,-36.829
2703007,AL,IBATEGUARA,0.518,-8.973,-35.939
2703106,AL,IGACI,0.564,-9.537,-36.634
2703205,AL,IGREJA NOVA,0.568,-10.125,-36.662
2703304,AL,INHAPI,0.484,-9.219,-37.754
2703403,AL,JACARÉ DOS HOMENS,0.583,-9.636,-37.205
2703502,AL,JACUÍPE,0.548,-8.842,-35.46
2703601,AL,JAPARATINGA,0.57,-9.088,-35.258
2703700,AL,JARAMATAIA,0.552,-9.659,-37.002
2703759,AL,JEQUIÁ DA PRAIA,0.556,-10.012,-36.021
2703809,AL,JOAQUIM GOMES,0.531,-9.133,-35.748
2703908,AL,JUNDIÁ,0.562,-8.935,-35.574
2704005,AL,JUNQUEIRO,0.575,-9.925,-36.476
2704104,AL,LAGOA DA CANOA,0.552,-9.83,-36.738
2704203,AL,LIMOEIRO DE ANADIA,0.58,-9.741,-36.503
2704302,AL,MACEIÓ,0.721,-9.666,-35.735
2704401,AL,MAJOR ISIDORO,0.566,-9.532,-36.985
2704906,AL,MAR VERMELHO,0.577,-9.448,-36.388
2704500,AL,MARAGOGI,0.574,-9.012,-35.222
2704609,AL,MARAVILHA,0.569,-9.236,-37.35
2704708,AL,MARECHAL DEODORO,0.642,-9.71,-35.895
2704807,AL,MARIBONDO,0.597,-9.577,-36.305
2705002,AL,MATA GRANDE,0.504,-9.118,-37.734
2705101,AL,MATRIZ DE CAMARAGIBE,0.584,-9.152,-35.533
2705200,AL,MESSIAS,0.568,-9.383,-35.842
2705309,AL,MINADOR DO NEGRÃO,0.563,-9.305,-36.865
2705408,AL,MONTEIRÓPOLIS,0.539,-9.603,-37.248
2705507,AL,MURICI,0.527,-9.307,-35.943
2705606,AL,NOVO LINO,0.521,-8.915,-35.647
2705705,AL,OLHO D'ÁGUA DAS FLORES,0.565,-9.536,-37.294
2705804,AL,OLHO D'ÁGUA DO CASADO,0.525,-9.501,-37.832
2705903,AL,OLHO D'ÁGUA GRANDE,0.503,-10.058,-36.817
2706000,AL,OLIVENÇA,0.493,-9.519,-37.191
2706109,AL,OURO BRANCO,0.547,-9.167,-37.357
2706208,AL,PALESTINA,0.558,-9.672,-37.329
2706307,AL,PALMEIRA DOS ÍNDIOS,0.638,-9.407,-36.628
2706422,AL,PARICONHA,0.548,-9.254,-38.006
2706448,AL,PARIPUEIRA,0.605,-9.465,-35.552
2706505,AL,PASSO DE CAMARAGIBE,0.533,-9.238,-35.493
2706604,AL,PAULO JACINTO,0.589,-9.366,-36.37
2706703,AL,PENEDO,0.63,-10.29,-36.586
2706802,AL,PIAÇABUÇU,0.572,-10.406,-36.434
2706901,AL,PILAR,0.61,-9.597,-35.957
2707008,AL,PINDOBA,0.574,-9.475,-36.29
2707107,AL,PIRANHAS,0.589,-9.624,-37.757
2707305,AL,PORTO CALVO,0.586,-9.045,-35.398
2707404,AL,PORTO DE PEDRAS,0.541,-9.158,-35.295
2707503,AL,PORTO REAL DO COLÉGIO,0.551,-10.186,-36.84
2707206,AL,POÇO DAS TRINCHEIRAS,0.526,-9.313,-37.286
2706406,AL,PÃO DE AÇÚCAR,0.593,-9.748,-37.437
2707602,AL,QUEBRANGULO,0.559,-9.319,-36.471
2707701,AL,RIO LARGO,0.643,-9.478,-35.853
2707800,AL,ROTEIRO,0.505,-9.833,-35.978
2707909,AL,SANTA LUZIA DO NORTE,0.597,-9.603,-35.822
2708006,AL,SANTANA DO IPANEMA,0.591,-9.378,-37.245
2708105,AL,SANTANA DO MUNDAÚ,0.519,-9.168,-36.222
2708907,AL,SATUBA,0.66,-9.563,-35.824
2708956,AL,SENADOR RUI PALMEIRA,0.518,-9.354,-37.507
2708204,AL,SÃO BRÁS,0.572,-10.128,-36.901
2708303,AL,SÃO JOSÉ DA LAJE,0.573,-9.01,-36.058
2708402,AL,SÃO JOSÉ DA TAPERA,0.527,-9.558,-37.381
2708501,AL,SÃO LUÍS DO QUITUNDE,0.536,-9.318,-35.561
2708600,AL,SÃO MIGUEL DOS CAMPOS,0.623,-9.781,-36.094
2708709,AL,SÃO MIGUEL DOS MILAGRES,0.591,-9.266,-35.373
2708808,AL,SÃO SEBASTIÃO,0.549,-9.934,-36.554
2709004,AL,TANQUE D'ARCA,0.555,-9.532,-36.433
2709103,AL,TAQUARANA,0.541,-9.645,-36.497
2709152,AL,TEOTÔNIO VILELA,0.564,-9.905,-36.353
2709202,AL,TRAIPU,0.532,-9.971,-37.003
2709301,AL,UNIÃO DOS PALMARES,0.593,-9.163,-36.032
2709400,AL,VIÇOSA,0.586,-9.371,-36.241
2700102,AL,ÁGUA BRANCA,0.549,-9.262,-37.938
1300029,AM,ALVARÃES,0.527,-3.221,-64.804
